open_time,open,high,low,close,volume
1771893000000,64858.77000000,64999.76000000,64826.60000000,64941.43000000,182.30291000
1771894800000,64941.42000000,64941.42000000,63433.84000000,64432.90000000,1739.88445000
1771896600000,64432.89000000,64614.50000000,64067.41000000,64160.27000000,662.87482000
1771898400000,64160.26000000,64322.70000000,64000.00000000,64313.72000000,337.74742000
1771900200000,64313.73000000,64500.00000000,64078.59000000,64109.81000000,261.88785000
1771902000000,64109.80000000,64109.80000000,63558.15000000,63705.78000000,734.21019000
1771903800000,63705.79000000,63789.38000000,63342.90000000,63595.51000000,578.55912000
1771905600000,63595.51000000,63628.52000000,62868.69000000,63220.71000000,1471.43503000
1771907400000,63220.71000000,63394.16000000,62986.16000000,63378.84000000,625.47547000
1771909200000,63378.84000000,63551.58000000,62700.80000000,62820.77000000,715.94296000
1771911000000,62820.77000000,63105.84000000,62728.04000000,63104.79000000,558.12741000
1771912800000,63104.79000000,63316.64000000,62900.00000000,63211.11000000,364.79655000
1771914600000,63211.11000000,63322.28000000,62919.50000000,63082.79000000,313.15113000
1771916400000,63082.79000000,63367.20000000,62866.42000000,63274.86000000,457.93759000
1771918200000,63274.87000000,63300.00000000,63005.31000000,63192.96000000,433.02366000
1771920000000,63192.79000000,63323.34000000,63009.92000000,63298.21000000,372.70764000
1771921800000,63298.21000000,63444.66000000,63267.48000000,63392.15000000,296.43892000
1771923600000,63392.15000000,63411.80000000,63100.00000000,63144.83000000,293.66284000
1771925400000,63144.83000000,63257.59000000,62908.92000000,63249.99000000,363.50782000
1771927200000,63250.00000000,63307.84000000,63112.70000000,63269.99000000,230.24060000
1771929000000,63269.99000000,63369.71000000,63150.00000000,63284.50000000,216.95151000
1771930800000,63284.51000000,63317.95000000,63147.06000000,63170.01000000,181.88931000
1771932600000,63170.01000000,63250.00000000,63063.63000000,63227.10000000,279.19451000
1771934400000,63227.11000000,63343.59000000,63101.70000000,63324.02000000,218.99627000
1771936200000,63324.03000000,63340.48000000,62965.21000000,62969.05000000,423.16225000
1771938000000,62969.04000000,63100.00000000,62851.63000000,62920.29000000,528.84827000
1771939800000,62920.30000000,63091.57000000,62510.28000000,62900.00000000,1833.35121000
1771941600000,62900.01000000,63029.07000000,62762.03000000,63000.89000000,388.66433000
1771943400000,63000.89000000,63834.21000000,62767.30000000,63453.99000000,1019.52522000
1771945200000,63454.00000000,63970.05000000,63300.00000000,63928.22000000,677.48008000
1771947000000,63928.21000000,64031.76000000,63666.22000000,63973.97000000,449.62680000
1771948800000,63973.98000000,64428.90000000,63882.75000000,63956.21000000,935.76956000
1771950600000,63956.21000000,64300.00000000,63689.54000000,64265.52000000,487.44017000
1771952400000,64265.53000000,64520.00000000,64109.94000000,64147.96000000,721.48811000
1771954200000,64147.96000000,64264.55000000,64042.80000000,64219.71000000,295.83694000
1771956000000,64219.70000000,64414.88000000,63872.72000000,64292.00000000,468.64125000
1771957800000,64292.01000000,64500.00000000,64287.44000000,64435.06000000,341.25193000
1771959600000,64435.05000000,64743.11000000,64250.52000000,64312.96000000,479.34843000
1771961400000,64312.96000000,64518.96000000,64303.75000000,64435.03000000,242.94620000
1771963200000,64435.03000000,64508.61000000,64318.03000000,64473.95000000,190.96567000
1771965000000,64473.96000000,64591.99000000,64388.80000000,64472.90000000,218.25877000
1771966800000,64472.90000000,64472.90000000,63820.50000000,63916.22000000,392.72999000
1771968600000,63916.22000000,64086.29000000,63871.79000000,64042.66000000,183.67913000
1771970400000,64042.66000000,64227.81000000,63973.79000000,64145.11000000,156.17014000
1771972200000,64145.11000000,64187.23000000,63984.32000000,64120.95000000,131.99168000
1771974000000,64120.96000000,64220.04000000,63853.99000000,64185.01000000,275.22116000
1771975800000,64185.01000000,64248.65000000,64027.00000000,64058.15000000,114.19589000
1771977600000,64058.15000000,64080.81000000,63913.27000000,63959.99000000,117.80727000
1771979400000,63960.00000000,64319.29000000,63960.00000000,64224.30000000,174.57310000
1771981200000,64224.29000000,66300.00000000,64145.20000000,65944.66000000,2051.82191000
1771983000000,65944.67000000,66271.99000000,65769.46000000,65896.75000000,788.25865000
1771984800000,65896.74000000,66310.00000000,65890.62000000,66113.25000000,893.50394000
1771986600000,66113.24000000,66173.73000000,65866.66000000,65884.83000000,359.41208000
1771988400000,65884.84000000,65955.87000000,65493.80000000,65586.17000000,436.32049000
1771990200000,65586.17000000,65636.61000000,65350.28000000,65391.73000000,365.47469000
1771992000000,65391.74000000,65622.91000000,65116.65000000,65589.68000000,484.11401000
1771993800000,65589.68000000,65650.00000000,65412.00000000,65457.99000000,239.38316000
1771995600000,65458.00000000,65511.21000000,65157.94000000,65197.50000000,267.43779000
1771997400000,65197.50000000,65239.72000000,64755.26000000,64882.76000000,564.17564000
1771999200000,64882.77000000,65124.04000000,64882.29000000,65027.52000000,194.99523000
1772001000000,65027.52000000,65118.92000000,64865.78000000,64898.22000000,199.77439000
1772002800000,64898.22000000,65193.25000000,64781.18000000,65116.59000000,257.33387000
1772004600000,65116.59000000,65189.87000000,64876.91000000,65028.30000000,425.25624000
1772006400000,65028.30000000,65247.10000000,64955.79000000,65192.31000000,262.58788000
1772008200000,65192.32000000,65586.87000000,65188.89000000,65530.49000000,431.77601000
1772010000000,65530.48000000,65692.62000000,65454.43000000,65570.10000000,364.70539000
1772011800000,65570.09000000,65579.67000000,65396.47000000,65558.71000000,181.10293000
1772013600000,65558.71000000,65648.74000000,65362.25000000,65368.19000000,170.98917000
1772015400000,65368.19000000,65512.50000000,65345.00000000,65400.87000000,144.13636000
1772017200000,65400.87000000,65401.47000000,65200.80000000,65362.21000000,222.46925000
1772019000000,65362.20000000,65485.91000000,65331.99000000,65430.04000000,220.13085000
1772020800000,65430.04000000,65929.94000000,65324.62000000,65780.60000000,484.67959000
1772022600000,65780.60000000,66240.00000000,65749.10000000,66068.94000000,832.03857000
1772024400000,66068.94000000,66300.00000000,66025.39000000,66179.44000000,733.37222000
1772026200000,66179.44000000,66684.10000000,66142.70000000,66248.62000000,1126.67065000
1772028000000,66248.63000000,66628.21000000,66207.72000000,66579.46000000,607.58518000
1772029800000,66579.20000000,67009.78000000,66202.66000000,66973.20000000,1572.58266000
1772031600000,66973.19000000,67249.20000000,66715.13000000,67071.05000000,1143.67403000
1772033400000,67071.06000000,67578.00000000,66966.84000000,67412.33000000,1379.23429000
1772035200000,67412.32000000,68100.01000000,67404.00000000,67872.16000000,1297.05853000
1772037000000,67872.17000000,68332.00000000,67823.52000000,68297.35000000,762.37080000
1772038800000,68297.35000000,68686.86000000,68016.53000000,68565.44000000,1326.57478000
1772040600000,68565.44000000,68879.96000000,68400.89000000,68674.20000000,1136.61188000
1772042400000,68674.20000000,69500.00000000,68373.33000000,69348.39000000,1191.76511000
1772044200000,69348.39000000,69550.00000000,69203.49000000,69328.07000000,913.24262000
1772046000000,69328.06000000,69406.93000000,68764.94000000,68972.90000000,1226.57269000
1772047800000,68972.90000000,69093.34000000,68779.60000000,69038.26000000,446.26693000
1772049600000,69038.26000000,69091.40000000,68619.22000000,68802.37000000,471.71759000
1772051400000,68802.38000000,69374.95000000,68775.76000000,69148.69000000,605.21244000
1772053200000,69148.69000000,69226.28000000,68800.00000000,68803.70000000,320.70309000
1772055000000,68803.71000000,69988.83000000,68773.83000000,68919.72000000,1241.41641000
1772056800000,68919.72000000,69176.00000000,68830.01000000,68878.86000000,275.31018000
1772058600000,68878.87000000,68905.97000000,68055.91000000,68432.13000000,817.57413000
1772060400000,68432.13000000,68696.97000000,68212.52000000,68277.25000000,374.16935000
1772062200000,68277.24000000,68294.02000000,67600.00000000,67988.04000000,646.04857000
1772064000000,67988.04000000,68445.82000000,67727.52000000,68280.80000000,621.06152000
1772065800000,68280.79000000,68539.17000000,67974.51000000,68335.99000000,513.50690000
1772067600000,68335.99000000,68700.00000000,68210.35000000,68390.41000000,373.86209000
1772069400000,68390.41000000,68551.99000000,68221.44000000,68248.30000000,245.32826000
1772071200000,68248.30000000,68267.10000000,67779.93000000,67936.40000000,568.28258000
1772073000000,67936.41000000,68351.00000000,67936.41000000,68257.45000000,264.91152000
1772074800000,68257.46000000,68379.59000000,68046.38000000,68102.57000000,246.29193000
1772076600000,68102.57000000,68316.16000000,68044.18000000,68216.86000000,162.22550000
1772078400000,68216.87000000,68693.42000000,68179.62000000,68562.56000000,312.83797000
1772080200000,68562.55000000,68860.00000000,68552.12000000,68571.36000000,274.72077000
1772082000000,68571.36000000,68571.37000000,68127.58000000,68357.86000000,309.54751000
1772083800000,68357.86000000,68509.57000000,68261.72000000,68443.81000000,177.27232000
1772085600000,68443.82000000,68522.00000000,68250.01000000,68255.65000000,353.72587000
1772087400000,68255.65000000,68260.20000000,68042.90000000,68176.75000000,264.90772000
1772089200000,68176.75000000,68290.18000000,68103.30000000,68177.70000000,205.37014000
1772091000000,68177.69000000,68194.11000000,67817.87000000,67825.04000000,634.77392000
1772092800000,67825.05000000,68236.00000000,67792.00000000,68029.71000000,328.71173000
1772094600000,68029.72000000,68144.27000000,67904.00000000,67954.01000000,432.97935000
1772096400000,67954.00000000,68418.51000000,67933.25000000,68188.52000000,414.29256000
1772098200000,68188.52000000,68644.59000000,68150.00000000,68589.41000000,681.02363000
1772100000000,68589.41000000,68722.64000000,68332.27000000,68332.28000000,474.25354000
1772101800000,68332.27000000,68464.49000000,68257.64000000,68301.62000000,214.40718000
1772103600000,68301.61000000,68404.25000000,68144.15000000,68158.58000000,303.84363000
1772105400000,68158.59000000,68230.70000000,67965.46000000,68051.31000000,419.10568000
1772107200000,68051.30000000,68303.83000000,68027.85000000,68150.46000000,323.07689000
1772109000000,68150.45000000,68290.17000000,68009.88000000,68171.56000000,319.00192000
1772110800000,68171.55000000,68213.98000000,67923.34000000,68158.51000000,290.76534000
1772112600000,68158.51000000,68195.52000000,67848.69000000,67905.35000000,408.20249000
1772114400000,67905.34000000,68151.78000000,67650.82000000,68116.00000000,527.90400000
1772116200000,68116.00000000,68272.21000000,67264.22000000,67697.74000000,1241.36333000
1772118000000,67696.89000000,67743.36000000,66855.21000000,66979.88000000,1124.27796000
1772119800000,66979.87000000,67610.47000000,66761.16000000,67382.00000000,971.60344000
1772121600000,67382.00000000,67566.85000000,67055.00000000,67452.01000000,504.68090000
1772123400000,67452.00000000,67458.05000000,66500.00000000,66643.55000000,1545.52003000
1772125200000,66643.56000000,67044.10000000,66600.46000000,66936.31000000,565.10201000
1772127000000,66936.31000000,67022.65000000,66620.01000000,66826.80000000,320.72554000
1772128800000,66826.80000000,67027.24000000,66575.73000000,66863.00000000,439.13640000
1772130600000,66863.00000000,67373.90000000,66842.51000000,67310.53000000,619.33556000
1772132400000,67310.53000000,67903.12000000,67285.99000000,67572.96000000,763.72847000
1772134200000,67572.95000000,67713.96000000,67394.64000000,67589.22000000,472.22166000
1772136000000,67589.21000000,67831.11000000,67550.54000000,67559.79000000,223.37996000
1772137800000,67559.79000000,67559.79000000,67269.42000000,67414.07000000,374.50991000
1772139600000,67414.07000000,67503.61000000,67150.14000000,67477.12000000,198.99939000
1772141400000,67477.11000000,67575.97000000,67372.00000000,67463.65000000,100.84793000
1772143200000,67463.65000000,67591.78000000,67301.75000000,67414.52000000,143.04628000
1772145000000,67414.52000000,67630.22000000,67405.13000000,67572.30000000,148.58732000
1772146800000,67572.30000000,67625.11000000,67390.65000000,67569.44000000,145.77105000
1772148600000,67569.43000000,67656.11000000,67414.65000000,67485.18000000,168.74632000
1772150400000,67485.19000000,67537.84000000,67170.00000000,67307.23000000,223.51451000
1772152200000,67307.23000000,67317.75000000,67000.00000000,67226.50000000,239.39579000
1772154000000,67226.50000000,67243.10000000,66885.00000000,67073.13000000,249.13793000
1772155800000,67073.12000000,67398.86000000,67023.13000000,67352.26000000,569.01645000
1772157600000,67352.26000000,67529.11000000,67280.00000000,67412.48000000,269.09191000
1772159400000,67412.48000000,67546.15000000,67263.56000000,67266.58000000,194.00420000
1772161200000,67266.58000000,67294.11000000,67099.71000000,67112.05000000,166.91689000
1772163000000,67112.06000000,67712.16000000,67112.06000000,67600.84000000,248.75682000
1772164800000,67600.84000000,68216.80000000,67578.67000000,67947.90000000,598.24629000
1772166600000,67947.91000000,67974.59000000,67685.22000000,67747.49000000,720.29182000
1772168400000,67747.49000000,67924.00000000,67688.03000000,67806.87000000,269.86972000
1772170200000,67806.88000000,67878.47000000,67683.30000000,67724.99000000,141.69631000
1772172000000,67725.00000000,67780.50000000,67525.46000000,67605.15000000,247.39860000
1772173800000,67605.15000000,67823.90000000,67605.14000000,67658.14000000,151.20508000
1772175600000,67658.14000000,67720.01000000,67459.30000000,67506.39000000,258.42304000
1772177400000,67506.40000000,67774.48000000,67463.32000000,67690.60000000,638.14182000
1772179200000,67690.60000000,68050.00000000,67655.86000000,67967.90000000,309.72136000
1772181000000,67967.90000000,68079.83000000,67745.08000000,67926.24000000,403.25911000
1772182800000,67926.25000000,68149.93000000,67836.95000000,68026.05000000,1030.57938000
1772184600000,68026.04000000,68042.43000000,67284.22000000,67355.73000000,346.71082000
1772186400000,67355.72000000,67416.78000000,66688.91000000,66788.31000000,889.78666000
1772188200000,66789.24000000,66959.62000000,66574.00000000,66604.91000000,525.04545000
1772190000000,66604.90000000,66778.68000000,66361.00000000,66525.66000000,565.25005000
1772191800000,66525.65000000,66575.95000000,65960.01000000,66126.99000000,834.34251000
1772193600000,66126.99000000,66217.42000000,65891.48000000,65899.99000000,1194.24794000
1772195400000,65900.00000000,66044.10000000,65734.71000000,65928.01000000,660.78535000
1772197200000,65928.01000000,66164.43000000,65901.58000000,66018.00000000,532.36996000
1772199000000,66017.99000000,66344.90000000,65649.34000000,66270.55000000,746.18321000
1772200800000,66270.55000000,66334.87000000,66002.68000000,66117.81000000,404.52558000
1772202600000,66117.81000000,66316.30000000,65686.64000000,65887.59000000,999.70648000
1772204400000,65887.59000000,66237.68000000,65845.18000000,66113.99000000,575.23673000
1772206200000,66113.98000000,66311.11000000,65866.00000000,66095.40000000,381.88305000
1772208000000,66095.40000000,66121.03000000,65755.40000000,65996.26000000,472.82200000
1772209800000,65996.26000000,66054.36000000,65462.93000000,65475.21000000,662.74287000
1772211600000,65475.21000000,65665.72000000,65190.59000000,65205.21000000,622.23229000
1772213400000,65205.21000000,65765.06000000,65113.72000000,65703.19000000,643.16480000
1772215200000,65703.18000000,65788.07000000,65379.79000000,65576.39000000,317.85713000
1772217000000,65576.39000000,65679.88000000,65228.33000000,65314.76000000,305.15124000
1772218800000,65314.76000000,65434.88000000,65172.60000000,65339.58000000,314.46809000
1772220600000,65339.59000000,65457.35000000,65250.00000000,65392.18000000,537.48782000
1772222400000,65392.18000000,65644.81000000,65392.18000000,65577.54000000,223.77093000
1772224200000,65577.55000000,65666.66000000,65464.00000000,65594.67000000,221.09375000
1772226000000,65594.67000000,65749.94000000,65496.05000000,65704.54000000,159.89280000
1772227800000,65704.54000000,65718.62000000,65400.00000000,65527.59000000,122.76360000
1772229600000,65527.59000000,65615.30000000,65446.98000000,65466.66000000,95.45397000
1772231400000,65466.66000000,65673.33000000,64914.46000000,65637.99000000,618.08093000
1772233200000,65638.00000000,65900.00000000,65551.67000000,65886.41000000,188.32781000
1772235000000,65886.42000000,65953.20000000,65828.32000000,65872.10000000,138.53339000
1772236800000,65872.09000000,66025.52000000,65721.13000000,65775.80000000,241.02194000
1772238600000,65775.80000000,65985.18000000,65735.74000000,65942.00000000,93.40255000
1772240400000,65942.01000000,65971.93000000,65814.01000000,65838.00000000,161.72426000
1772242200000,65838.01000000,65867.45000000,65743.71000000,65770.36000000,106.08848000
1772244000000,65770.36000000,65975.68000000,65761.94000000,65918.71000000,74.96602000
1772245800000,65918.70000000,66018.85000000,65913.33000000,65961.13000000,129.12686000
1772247600000,65961.13000000,65982.34000000,65850.48000000,65889.86000000,117.25001000
1772249400000,65889.86000000,65924.36000000,65745.39000000,65797.42000000,122.16396000
1772251200000,65797.42000000,65818.44000000,65641.62000000,65673.05000000,116.86602000
1772253000000,65673.05000000,65705.17000000,65488.00000000,65663.20000000,194.67080000
1772254800000,65663.21000000,65729.65000000,65623.44000000,65646.08000000,105.48177000
1772256600000,65646.08000000,65646.08000000,65500.00000000,65591.03000000,194.72218000
1772258400000,65591.03000000,65591.04000000,64400.00000000,64570.21000000,1152.70056000
1772260200000,64570.21000000,64580.05000000,63030.00000000,63216.01000000,2022.49389000
1772262000000,63216.01000000,63890.88000000,63038.00000000,63512.86000000,1030.34055000
1772263800000,63512.85000000,64327.22000000,63467.11000000,63826.00000000,1097.63872000
1772265600000,63825.99000000,63877.09000000,63420.00000000,63628.10000000,699.58891000
1772267400000,63628.11000000,63763.85000000,63411.39000000,63473.28000000,418.54947000
1772269200000,63473.27000000,64005.35000000,63372.10000000,63842.21000000,473.56925000
1772271000000,63842.20000000,63842.21000000,63543.98000000,63658.54000000,263.54814000
1772272800000,63658.55000000,64053.93000000,63452.64000000,63844.20000000,1266.51227000
1772274600000,63846.23000000,64053.62000000,63842.77000000,64010.39000000,366.91485000
1772276400000,64010.38000000,64307.26000000,63966.00000000,64250.89000000,491.95072000
1772278200000,64250.90000000,64307.44000000,63791.25000000,63844.20000000,753.68904000
1772280000000,63844.20000000,64082.66000000,63838.84000000,64000.00000000,212.44592000
1772281800000,63999.99000000,64071.01000000,63827.20000000,64017.19000000,262.39577000
1772283600000,64017.18000000,64205.01000000,63912.06000000,64029.50000000,489.08022000
1772285400000,64029.50000000,65216.97000000,63888.89000000,65106.44000000,1259.05033000
1772287200000,65106.45000000,65360.51000000,64650.00000000,64793.52000000,663.43998000
1772289000000,64793.51000000,65159.10000000,64278.50000000,64435.61000000,668.53246000
1772290800000,64435.62000000,64845.82000000,64200.00000000,64752.83000000,392.54782000
1772292600000,64752.82000000,65020.75000000,64644.01000000,64841.18000000,338.99107000
1772294400000,64841.17000000,65001.14000000,64681.81000000,64942.77000000,206.57370000
1772296200000,64942.76000000,65206.25000000,64888.77000000,65094.30000000,293.65995000
1772298000000,65094.29000000,65128.84000000,64895.14000000,65102.11000000,231.56226000
1772299800000,65102.12000000,65555.00000000,64828.03000000,65442.62000000,364.02183000
1772301600000,65442.61000000,65455.32000000,65185.70000000,65187.71000000,209.46121000
1772303400000,65187.72000000,66157.61000000,65187.71000000,65911.84000000,621.12027000
1772305200000,65911.83000000,65950.55000000,65602.65000000,65736.01000000,261.24270000
1772307000000,65736.00000000,66666.65000000,65717.92000000,66362.01000000,811.48854000
1772308800000,66362.01000000,67045.00000000,66190.61000000,66750.14000000,494.79212000
1772310600000,66750.14000000,67151.68000000,66620.88000000,66959.62000000,345.34051000
1772312400000,66959.63000000,66988.42000000,66368.42000000,66472.01000000,447.54989000
1772314200000,66472.01000000,67055.56000000,66404.05000000,66723.22000000,487.20995000
1772316000000,66723.23000000,67137.84000000,66608.82000000,67005.30000000,682.24483000
1772317800000,67005.30000000,67760.00000000,66963.54000000,67103.64000000,627.84635000
1772319600000,67103.63000000,67210.00000000,66891.13000000,66896.07000000,199.35262000
1772321400000,66896.07000000,67051.68000000,66733.73000000,66973.26000000,283.78497000
1772323200000,66973.26000000,67121.80000000,66766.24000000,66778.32000000,344.44930000
1772325000000,66778.32000000,66872.17000000,66620.50000000,66791.29000000,215.90264000
1772326800000,66791.29000000,66792.25000000,66042.72000000,66351.03000000,594.17701000
1772328600000,66351.03000000,67703.32000000,66290.42000000,67339.36000000,1036.01327000
1772330400000,67339.36000000,68199.99000000,67339.36000000,67764.51000000,1218.27836000
1772332200000,67764.51000000,68166.00000000,67600.04000000,67620.65000000,643.54434000
1772334000000,67620.65000000,67813.33000000,67400.00000000,67563.49000000,305.45431000
1772335800000,67563.50000000,67699.69000000,67420.39000000,67502.16000000,332.54285000
1772337600000,67502.16000000,67612.14000000,67079.36000000,67322.85000000,439.96630000
1772339400000,67322.86000000,67449.29000000,67251.83000000,67346.50000000,191.63911000
